NO_OF_PEDESTRIANS,TIME (hh),DAY,RED_LIGHT_CAMERA,COLLISION_ID,LOCATION,LONGITUDE,LATITUDE,Year,MONTH,Date,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE
0,Morning,0,0,13-5687,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016407,45.46415713,2013,Jun,5,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,02 - Non-fatal injury,02 - Angle
0,Afternoon,0,0,13-5875,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54008358,45.46415645,2013,Jun,10,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,13-6287,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401862,45.46420833,2013,Jun,21,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,02 - Non-fatal injury,02 - Angle
0,Morning,0,0,13-6360,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012932,45.46417141,2013,Jun,24,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,02 - Non-fatal injury,02 - Angle
0,Evening,0,0,13-6710,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012908,45.46418599,2013,Jul,4,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,02 - Non-fatal injury,03 - Rear end
0,Afternoon,1,0,13-7242,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015245,45.46416432,2013,Jul,20,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,03 - Rear end
0,Afternoon,1,0,13-7244,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016431,45.46414256,2013,Jul,20,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Morning,0,0,13-7370,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54010534,45.46422952,2013,Jul,25,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,0,0,13-7433,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401292,45.4641787,2013,Jul,26,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Morning,0,0,13-7661,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016382,45.4641717,2013,Aug,2,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Evening,0,0,13-7685,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016345,45.46419357,2013,Aug,2,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,1,0,13-7907,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54017495,45.46419366,2013,Aug,11,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,1,0,13-7912,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012994,45.46413498,2013,Aug,11,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-7958,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5400952,45.46414926,2013,Aug,12,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-8041,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54007146,45.46419279,2013,Aug,14,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
